trade_date,sayrafa_avg_rate_lbp,trading_volume_usd,effective_days,parallel_market_avg_rate_lbp
2021-07-27,16500,3000000,1,18700
2021-07-28,15000,1500000,1,17700
2021-07-29,15000,2000000,1,17900
2021-07-30,14500,2000000,1,18350
2021-08-03,16500,3000000,1,20600
2021-08-06,15650,2200000,1,20100
2021-08-11,17400,2000000,1,20575
2021-08-12,17900,2000000,1,20700
2021-08-13,17500,2100000,1,20750
2021-08-18,16500,750000,1,18200
2021-08-24,16000,1150000,1,19200
2021-08-25,16800,900000,1,19200
2021-08-26,16500,750000,1,19100
2021-08-27,16500,700000,1,19150
2021-08-31,16600,900000,1,19000
2021-09-01,16000,850000,1,19100
2021-09-02,15700,900000,1,18100
2021-09-03,16000,1500000,1,18700
2021-09-09,16000,1000000,1,19350
2021-09-10,15500,500000,1,18100
2021-09-14,14300,1500000,1,16275
2021-09-15,14000,800000,1,16100
2021-09-21,14000,750000,1,14800
2021-09-22,14000,1150000,1,15100
2021-09-23,14200,750000,1,16300
2021-09-24,14300,900000,1,15800
2021-09-28,14500,850000,1,16425
2021-09-29,14700,850000,1,16800
2021-09-30,15000,700000,1,17500
2021-10-01,14750,850000,1,17500
2021-10-05,15500,2150000,1,17550
2021-10-06,15100,2400000,1,17600
2021-10-07,15300,1300000,1,18450
2021-10-08,16000,2000000,1,19000
2021-10-12,17000,2300000,1,19450
2021-10-13,17000,2000000,1,20750
2021-10-21,17000,3300000,1,20200
2021-10-22,17300,7000000,1,20250
2021-10-26,17400,5800000,1,20550
2021-10-27,17500,3500000,1,20450
2021-11-02,17300,3700000,1,20900
2021-11-03,17100,2800000,1,20850
2021-11-04,17500,6500000,1,20600
2021-11-05,17600,4100000,1,20750
2021-11-09,17900,9500000,1,21200
2021-11-10,18000,3000000,1,21300
2021-11-11,18500,3000000,1,21900
2021-11-12,19000,2800000,1,22800
2021-11-16,18900,3850000,1,22900
2021-11-17,19300,4900000,1,22950
2021-11-24,19700,4300000,1,23750
2021-11-30,20600,3700000,1,24750
2021-12-01,20600,5750000,1,24600
2021-12-02,19500,8000000,1,24100
2021-12-03,19300,11000000,1,22000
2021-12-07,19500,4200000,1,23150
2021-12-08,19800,4200000,1,23400
2021-12-09,20500,5000000,1,25100
2021-12-10,20600,7100000,1,25450
2021-12-14,23000,5300000,1,27350
2021-12-15,22300,17600000,1,26900
2021-12-21,22200,13000000,1,27600
2021-12-22,22200,16000000,1,27250
2021-12-23,24000,19800000,1,27350
2021-12-28,22600,14300000,1,27450
2021-12-29,22700,18500000,1,27500
2022-01-04,24000,18000000,1,29600
2022-01-05,24500,15500000,1,29950
2022-01-11,25000,17500000,1,32400
2022-01-12,24700,14500000,1,31900
2022-01-18,23300,34000000,1,24800
2022-01-19,23100,38000000,1,24200
2022-01-20,22900,36000000,1,23500
2022-01-21,22700,20000000,1,23200
2022-01-25,22500,36000000,1,23550
2022-01-26,22400,53000000,1,23350
2022-01-27,22230,50000000,1,23050
2022-01-28,22100,40000000,1,22700
2022-02-01,21200,32000000,1,20400
2022-02-02,21100,30000000,1,20850
2022-02-03,21100,16000000,1,21500
2022-02-04,20900,35000000,1,21650
2022-02-08,20700,46000000,1,21250
2022-02-11,20500,46000000,1,21050
2022-02-16,20400,55000000,1,21000
2022-02-17,20300,60000000,1,20975
2022-02-18,20300,60000000,1,20900
2022-02-22,20300,55000000,1,20650
2022-02-23,20200,59000000,1,20700
2022-02-24,20200,70000000,1,20650
2022-02-25,20200,75000000,1,20600
2022-03-01,20200,93000000,1,20600
2022-03-02,20200,87000000,1,20600
2022-03-03,20200,82000000,1,20675
2022-03-04,20200,84000000,1,20650
2022-03-08,20200,70000000,1,20750
2022-03-09,20550,60000000,1,21400
2022-03-10,20900,85000000,1,22550
2022-03-11,20750,92000000,1,22600
2022-03-15,20600,90000000,1,22350
2022-03-16,20700,92000000,1,22275
2022-03-17,20800,90000000,1,22425
2022-03-18,20800,78000000,1,22700
2022-03-22,21900,26000000,1,24100
2022-03-23,21850,67000000,1,23500
2022-03-24,22150,61000000,1,24150
2022-03-29,22050,94500000,1,24300
2022-03-30,22050,83000000,1,24350
2022-03-31,22100,70500000,1,24050
2022-04-01,22100,85000000,1,23750
2022-04-02,22200,76300000,1,23800
2022-04-06,22100,41000000,1,24100
2022-04-07,22200,38000000,1,24100
2022-04-08,22100,77500000,1,23750
2022-04-12,22300,55000000,1,24700
2022-04-13,22200,50000000,1,25350
2022-04-14,22200,33500000,1,24550
2022-04-15,22850,52500000,1,24850
2022-04-21,23000,76000000,1,26050
2022-04-27,22600,71500000,1,27350
2022-04-28,22600,83000000,1,27250
2022-04-29,22600,66000000,1,26950
2022-05-06,22500,68500000,1,26900
2022-05-10,22600,57000000,1,27050
2022-05-11,22700,27000000,1,27100
2022-05-12,22700,30500000,1,27100
2022-05-13,22700,38500000,1,27000
2022-05-17,23500,34000000,1,29400
2022-05-18,23700,47000000,1,30800
2022-05-19,23600,60000000,1,30400
2022-05-20,23900,41000000,1,31100
2022-05-24,24600,60000000,1,32600
2022-05-27,24600,42000000,1,36600
2022-05-31,24500,105000000,1,27500
2022-06-01,24500,124500000,1,31300
2022-06-02,24400,122000000,1,28500
2022-06-03,24400,90000000,1,28100
2022-06-07,24400,85000000,1,27800
2022-06-08,24400,92500000,1,27900
2022-06-09,24400,110000000,1,27975
2022-06-10,24700,100000000,1,28000
2022-06-14,24900,47000000,1,28950
2022-06-15,24900,26000000,1,29500
2022-06-16,24900,20600000,1,28900
2022-06-17,24900,54000000,1,28275
2022-06-21,24900,35000000,1,28550
2022-06-22,24900,30000000,1,29300
2022-06-23,24900,20000000,1,28850
2022-06-24,25200,36000000,1,29600
2022-06-30,25200,44500000,1,28200
2022-07-01,25300,55000000,1,28150
2022-07-05,25300,92300000,1,28950
2022-07-06,25400,42000000,1,29200
2022-07-07,25400,40000000,1,29300
2022-07-08,25400,52000000,1,29400
2022-07-14,25400,48500000,1,29300
2022-07-15,25600,30000000,1,29400
2022-07-26,25600,43000000,1,29800
2022-07-27,25600,51000000,1,29850
2022-07-28,25600,33000000,1,30000
2022-07-29,25700,38000000,1,30200
2022-08-02,25700,73000000,1,30300
2022-08-03,25800,37000000,1,30550
2022-08-11,26200,45000000,1,30600
2022-08-12,26200,46000000,1,31800
2022-08-17,26500,29000000,1,32500
2022-08-18,26700,37000000,1,32750
2022-08-19,26900,26000000,1,33150
2022-08-23,27200,40000000,1,33700
2022-08-24,27200,26000000,1,34150
2022-08-25,27200,26000000,1,34200
2022-08-26,27200,20000000,1,33000
2022-08-30,27200,31000000,1,32700
2022-08-31,27200,35000000,1,32100
2022-09-01,27400,45000000,1,33400
2022-09-02,27600,95000000,1,35000
2022-09-06,28000,41000000,1,35500
2022-09-07,28000,28000000,1,35200
2022-09-08,28200,33000000,1,35300
2022-09-09,28200,42000000,1,35250
2022-09-13,28600,29000000,1,36000
2022-09-14,28800,28000000,1,36600
2022-09-15,29300,22000000,1,37900
2022-09-16,29600,57000000,1,38000
2022-09-20,29800,41000000,1,39150
2022-09-21,29800,20000000,1,37100
2022-09-22,29800,52000000,1,37900
2022-09-23,29800,36000000,1,37650
2022-09-27,29800,64000000,1,37400
2022-09-28,29800,48000000,1,38300
2022-09-29,29800,63500000,1,39000
2022-09-30,29800,77000000,1,38600
2022-10-04,29800,62500000,1,39000
2022-10-05,29800,70200000,1,39200
2022-10-06,29800,55000000,1,39600
2022-10-07,29800,30000000,1,39750
2022-10-12,29800,65000000,1,39850
2022-10-13,29800,57000000,1,39750
2022-10-14,29800,48000000,1,39800
2022-10-18,30100,60000000,1,40100
2022-10-19,30100,47000000,1,40350
2022-10-20,30100,75000000,1,40400
2022-10-21,30100,25000000,1,40400
2022-10-25,30100,44000000,1,35450
2022-10-26,30100,30000000,1,35800
2022-10-27,30100,30000000,1,36400
2022-10-28,30100,26000000,1,36200
2022-11-03,30100,26000000,1,37600
2022-11-04,30100,22000000,1,37500
2022-11-08,30300,53000000,1,39100
2022-11-09,30300,35000000,1,40200
2022-11-10,30300,35000000,1,39500
2022-11-11,30300,35000000,1,40100
2022-11-15,30300,35000000,1,39900
2022-11-16,30300,40000000,1,39850
2022-11-17,30300,35000000,1,40000
2022-11-18,30300,32000000,1,40150
2022-11-24,30300,40000000,1,39900
2022-11-25,30300,36000000,1,40100
2022-11-29,30300,48000000,1,40700
2022-11-30,30300,46000000,1,40700
2022-12-01,30300,40000000,1,41100
2022-12-02,30300,50000000,1,41500
2022-12-06,30300,35000000,1,41600
2022-12-07,30300,40000000,1,41600
2022-12-08,30500,30000000,1,42000
2022-12-09,30500,31000000,1,42700
2022-12-13,30600,33000000,1,42800
2022-12-14,30600,30000000,1,42900
2022-12-15,30800,41000000,1,43100
2022-12-16,30800,50000000,1,43500
2022-12-20,31200,60000000,1,44400
2022-12-21,31200,35000000,1,45600
2022-12-22,31200,41000000,1,45900
2022-12-23,31200,90000000,1,46000
2022-12-28,38000,110000000,1,43700
2022-12-29,38000,152000000,1,44100
2023-01-04,38000,290000000,1,42500
2023-01-05,38000,305000000,1,43100
2023-01-10,38000,60000000,1,46200
2023-01-11,38000,70000000,1,46500
2023-01-12,38000,50000000,1,47600
2023-01-13,38000,42000000,1,48000
2023-01-17,38000,40000000,1,48100
2023-01-18,38000,62000000,1,48300
2023-01-19,38000,46000000,1,49600
2023-01-20,38000,50000000,1,50500
2023-01-24,38000,35000000,1,53400
2023-01-25,38000,40000000,1,56000
2023-01-26,38000,40000000,1,59000
2023-01-27,38000,25000000,1,63500
2023-01-31,38000,47000000,1,58300
2023-02-01,42000,25000000,1,59300
2023-02-02,42000,70000000,1,64500
2023-02-03,42000,57000000,1,64000
2023-02-07,42000,10000000,1,64000
2023-02-08,43600,8000000,1,64200
2023-02-16,44100,15000000,1,80500
2023-02-17,44100,17000000,1,82000
2023-02-21,44300,15000000,1,82000
2023-02-22,44500,20000000,1,81500
2023-02-23,45000,25000000,1,80800
2023-02-24,45200,25000000,1,82000
2023-02-28,45400,40000000,1,85500
2023-03-01,45400,45000000,1,89500
2023-03-02,70000,18000000,1,81000
2023-03-03,70000,20000000,1,79500
2023-03-07,70000,35000000,1,80000
2023-03-08,70000,60000000,1,80200
2023-03-09,72200,100000000,1,82000
2023-03-10,73100,63000000,1,88000
2023-03-14,78000,30000000,1,99500
2023-03-15,79000,22000000,1,102000
2023-03-16,79500,20000000,1,104000
2023-03-17,80200,25000000,1,107500
2023-03-21,90000,12000000,1,129000
2023-03-22,90000,62000000,1,107000
2023-03-23,90000,43000000,1,108000
2023-03-24,90000,36000000,1,108000
2023-03-28,90000,72000000,1,107500
2023-03-29,90000,80000000,1,107500
2023-03-30,90000,90000000,1,107500
2023-03-31,90000,96000000,1,107500
2023-04-04,88000,97000000,1,98000
2023-04-05,87000,71000000,1,98000
2023-04-06,87000,72000000,1,97500
2023-04-12,86700,85000000,1,97000
2023-04-13,86700,86000000,1,97000
2023-04-19,86700,80000000,1,97000
2023-04-20,86700,83500000,1,97200
2023-04-26,86500,90000000,1,97000
2023-04-27,86500,103000000,1,97000
2023-04-28,86500,100750000,1,97000
2023-05-03,86300,138000000,1,96000
2023-05-04,86300,147000000,1,94500
2023-05-05,86300,70000000,1,94500
2023-05-09,86300,147000000,1,94500
2023-05-10,86300,153000000,1,94500
2023-05-11,86300,140000000,1,94500
2023-05-12,86300,120000000,1,94500
2023-05-16,86300,140000000,1,94500
2023-05-17,86300,125000000,1,94500
2023-05-18,86300,109500000,1,94500
2023-05-19,86300,108500000,1,94500
2023-05-23,86300,113000000,1,94500
2023-05-24,86300,105000000,1,94500
2023-06-01,86300,205000000,1,93800
2023-06-02,86300,131000000,1,94000
2023-06-06,86200,145000000,1,93200
2023-06-07,86200,218000000,1,93200
2023-06-08,86200,201000000,1,93300
2023-06-09,86200,185000000,1,93300
2023-06-13,86200,141000000,1,93300
2023-06-14,86200,144000000,1,93300
2023-06-15,86200,175000000,1,93300
2023-06-16,86200,181000000,1,93300
2023-06-20,86200,148000000,1,93200
2023-06-21,86200,133000000,1,93200
2023-06-22,86200,125000000,1,93300
2023-06-23,86200,130000000,1,93300
2023-06-27,86200,150000000,1,93400
2023-07-04,85500,154000000,1,91300
2023-07-05,85500,161000000,1,91300
2023-07-06,85500,165000000,1,91400
2023-07-07,85500,120000000,1,91400
2023-07-11,85500,150000000,1,91400
2023-07-12,85500,179000000,1,91400
2023-07-13,85500,190000000,1,91400
2021-07-26,14400,2000000,3,16600
2021-08-02,15250,2500000,3,19100
2021-08-23,16500,1000000,3,19050
2021-08-30,16700,1050000,3,19250
2021-09-06,15500,2100000,3,18200
2021-09-13,14500,600000,3,16375
2021-09-20,13200,1050000,3,14300
2021-09-27,14200,900000,3,16300
2021-10-04,14600,1150000,3,17600
2021-10-11,16000,1600000,3,19250
2021-10-25,17800,5600000,3,20350
2021-11-01,17400,5000000,3,21100
2021-11-08,17400,4000000,3,20850
2021-11-15,19000,4300000,3,22750
2021-11-29,20400,5250000,3,24750
2021-12-06,19400,8250000,3,23050
2021-12-13,21300,12000000,3,26300
2021-12-20,22100,6000000,3,27100
2022-01-10,24600,19000000,3,30550
2022-01-17,23900,43000000,3,24300
2022-01-24,22600,15000000,3,23200
2022-01-31,21500,43000000,3,21800
2022-02-07,20800,39000000,3,21300
2022-02-21,20300,50000000,3,20650
2022-02-28,20200,73000000,3,20625
2022-03-07,20200,80000000,3,20675
2022-03-14,20900,74000000,3,22450
2022-03-21,21500,36000000,3,23300
2022-04-05,22200,61000000,3,24050
2022-04-11,22250,64500000,3,24250
2022-05-09,22600,46000000,3,26850
2022-05-16,23200,50000000,3,27700
2022-05-23,24300,48000000,3,31850
2022-05-30,24500,196000000,3,27100
2022-06-06,24400,113000000,3,27750
2022-06-13,24700,55000000,3,27900
2022-06-20,24900,41000000,3,28350
2022-06-27,25300,49000000,3,29925
2022-07-04,25300,73800000,3,29150
2022-07-18,25600,42000000,3,29400
2022-08-01,25700,81000000,3,30050
2022-08-08,26100,23000000,3,31150
2022-08-22,27100,25000000,3,34200
2022-08-29,27200,16000000,3,32000
2022-09-05,28000,52000000,3,34600
2022-09-12,28400,28000000,3,35300
2022-09-19,29800,48000000,3,38300
2022-09-26,29800,86000000,3,37300
2022-10-03,29800,82200000,3,38800
2022-10-17,30100,60000000,3,40100
2022-10-24,30100,87000000,3,37200
2022-10-31,30100,22000000,3,36300
2022-11-07,30100,25000000,3,38000
2022-11-14,30300,28000000,3,39600
2022-11-21,30300,25000000,3,39700
2022-11-28,30300,45000000,3,40350
2022-12-05,30300,40000000,3,41500
2022-12-12,30600,35000000,3,42400
2022-12-19,30800,36000000,3,44300
2023-01-16,38000,57000000,3,48000
2023-01-23,38000,65000000,3,51200
2023-01-30,38000,50000000,3,57500
2023-02-06,42000,22000000,3,61000
2023-02-13,43500,10000000,3,66600
2023-02-20,44100,25000000,3,80700
2023-02-27,45400,43000000,3,81500
2023-03-06,70000,25000000,3,79800
2023-03-13,75800,80000000,3,94500
2023-03-20,83500,20000000,3,113000
2023-03-27,90000,45000000,3,107500
2023-04-03,88000,85000000,3,102000
2023-05-08,86300,140000000,3,94500
2023-05-15,86300,133000000,3,94500
2023-05-22,86300,130500000,3,94500
2023-05-29,86300,112500000,3,94500
2023-06-05,86200,175000000,3,93200
2023-06-12,86200,183000000,3,93300
2023-06-19,86200,185000000,3,93200
2023-06-26,86200,160000000,3,93200
2023-07-10,85500,141000000,3,91500
2021-07-02,12000,20000000,2,17200
2021-07-09,15200,5000000,7,19100
2021-07-16,16800,8000000,7,22500
2021-07-23,17500,3000000,7,21175
2021-08-05,18000,2000000,2,21350
2021-08-10,16500,1500000,4,20650
2021-08-17,16000,1100000,4,19000
2021-08-20,16500,1100000,2,19100
2021-09-08,16000,700000,2,18250
2021-09-17,13200,1200000,2,14000
2021-10-16,16900,5000000,2,20250
2021-10-20,17500,3000000,4,20700
2021-10-29,17500,6900000,2,20350
2021-11-19,19300,5300000,2,23075
2021-11-23,19500,7100000,4,23550
2021-11-26,21100,3500000,2,24975
2021-12-17,22400,20000000,2,26500
2021-12-27,23200,12200000,4,27400
2022-01-03,23500,14000000,5,28750
2022-01-07,24300,24900000,2,30000
2022-01-14,24400,41500000,2,28950
2022-02-10,20600,50000000,2,21150
2022-02-15,20400,50000000,4,21000
2022-03-28,22150,60000000,4,24100
2022-04-20,22900,44000000,5,25600
2022-04-26,22900,67500000,5,27700
2022-05-05,22500,53000000,6,26850
2022-05-26,24600,64000000,2,35100
2022-06-29,25200,46500000,2,28400
2022-07-13,25400,57000000,5,29400
2022-07-25,25600,25000000,7,29550
2022-08-05,25800,56000000,2,30600
2022-08-10,26100,32000000,2,31000
2022-08-16,26300,38000000,4,32000
2022-10-11,29800,73000000,4,39700
2022-11-02,30100,27000000,2,37700
2022-11-23,30300,30000000,2,39700
2022-12-27,38000,36000000,4,47750
2023-01-03,38000,310000000,5,42100
2023-01-09,38000,100000000,4,45000
2023-02-10,43600,12000000,2,65000
2023-02-15,43600,32000000,2,76500
2023-04-11,87000,83000000,5,97000
2023-04-18,86700,99350000,5,97000
2023-04-25,86500,86000000,5,97000
2023-05-02,86500,145000000,4,96500
2023-05-26,86300,115000000,2,94500
2023-05-31,86300,167000000,2,94500
2023-07-03,85500,150000000,6,91500
